region,area,count,mean,std,min,25%,50%,75%,max
Baltic,EE,35040.0,80.39354023972604,74.19741462069067,-21.71,20.75,72.08,116.23,1051.32
Baltic,LT,35040.0,85.31097631278539,74.36085652913563,-23.58,29.0,77.9,118.8775,1173.65
Baltic,LV,35040.0,85.73426141552513,74.14047365915668,-23.58,29.715,78.545,119.3075,1173.65
CWE,AT,35040.0,98.94424029680366,50.140346372425235,-252.6,82.0,101.25,123.18,561.75
CWE,BE,35040.0,82.57156221461187,47.87933479802773,-462.33,61.63,86.61500000000001,109.59,517.57
CWE,FR,35040.0,61.07367265981735,46.63418968519287,-118.01,20.427500000000002,60.0,93.57,473.28
CWE,NL,35040.0,86.81152825342467,50.12961845218616,-350.0,68.96,90.24,111.74,523.47
CWE,PL,35040.0,104.29175570776256,51.62921275927675,-132.95,87.84,104.17,123.34,509.88
Nordic,DK1,35040.0,81.10182363013698,50.79005494017725,-38.14,54.22,85.405,107.4125,583.4
Nordic,DK2,35040.0,82.49377939497717,52.158619860736735,-25.35,51.5375,85.62,109.25,583.4
Nordic,FI,35040.0,40.478242579908674,52.86296010092063,-21.39,3.49,16.49,65.05,572.2
Nordic,NO1,35040.0,58.35672831050229,32.75094758166816,-18.75,41.53,56.22,70.22,448.28
Nordic,NO2,35040.0,65.40101227168951,32.18043424372653,-15.6,48.92,65.49,77.73,493.32
Nordic,NO3,35040.0,21.106316495433788,23.92204071611495,-14.93,5.26,12.77,29.34,210.27
Nordic,NO4,35040.0,8.714333618721462,18.673450513672858,-26.4,1.71,3.53,7.17,203.05
Nordic,NO5,35040.0,46.91727711187215,28.510133207177454,-21.66,31.19,45.17,58.5,301.21
Nordic,SE1,35040.0,16.71178966894977,28.26199579093172,-94.59,3.02,6.03,16.28,275.19
Nordic,SE2,35040.0,16.532424942922376,28.62942457808917,-25.22,2.48,5.12,16.0625,292.51
Nordic,SE3,35040.0,46.234978310502285,42.86210155108985,-25.05,18.61,35.65,63.18,518.28
Nordic,SE4,35040.0,60.42900142694064,49.24138846399825,-25.3,24.89,54.77,85.965,519.08
Other,DE-LU,35040.0,89.32172260273971,52.47547989533618,-250.32,70.57,92.32499999999999,114.16,583.4
