"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|NO2","Without Sequence","16.35","",""
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|NO2","Without Sequence","16.35","",""
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|NO2","Without Sequence","16.35","",""
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|NO2","Without Sequence","16.35","",""
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|NO2","Without Sequence","14.05","",""
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|NO2","Without Sequence","14.05","",""
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|NO2","Without Sequence","14.05","",""
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|NO2","Without Sequence","14.05","",""
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|NO2","Without Sequence","12.39","",""
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|NO2","Without Sequence","12.39","",""
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|NO2","Without Sequence","12.39","",""
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|NO2","Without Sequence","12.39","",""
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|NO2","Without Sequence","13.21","",""
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|NO2","Without Sequence","13.21","",""
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|NO2","Without Sequence","13.21","",""
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|NO2","Without Sequence","13.21","",""
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|NO2","Without Sequence","12.23","",""
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|NO2","Without Sequence","12.23","",""
"01/01/2025 04:30:00 - 01/01/2025 04:45:00","BZN|NO2","Without Sequence","12.23","",""
"01/01/2025 04:45:00 - 01/01/2025 05:00:00","BZN|NO2","Without Sequence","12.23","",""
"01/01/2025 05:00:00 - 01/01/2025 05:15:00","BZN|NO2","Without Sequence","6.73","",""
"01/01/2025 05:15:00 - 01/01/2025 05:30:00","BZN|NO2","Without Sequence","6.73","",""
"01/01/2025 05:30:00 - 01/01/2025 05:45:00","BZN|NO2","Without Sequence","6.73","",""
"01/01/2025 05:45:00 - 01/01/2025 06:00:00","BZN|NO2","Without Sequence","6.73","",""
"01/01/2025 06:00:00 - 01/01/2025 06:15:00","BZN|NO2","Without Sequence","15.37","",""
"01/01/2025 06:15:00 - 01/01/2025 06:30:00","BZN|NO2","Without Sequence","15.37","",""
"01/01/2025 06:30:00 - 01/01/2025 06:45:00","BZN|NO2","Without Sequence","15.37","",""
"01/01/2025 06:45:00 - 01/01/2025 07:00:00","BZN|NO2","Without Sequence","15.37","",""
"01/01/2025 07:00:00 - 01/01/2025 07:15:00","BZN|NO2","Without Sequence","16.11","",""
"01/01/2025 07:15:00 - 01/01/2025 07:30:00","BZN|NO2","Without Sequence","16.11","",""
"01/01/2025 07:30:00 - 01/01/2025 07:45:00","BZN|NO2","Without Sequence","16.11","",""
"01/01/2025 07:45:00 - 01/01/2025 08:00:00","BZN|NO2","Without Sequence","16.11","",""
"01/01/2025 08:00:00 - 01/01/2025 08:15:00","BZN|NO2","Without Sequence","16.55","",""
"01/01/2025 08:15:00 - 01/01/2025 08:30:00","BZN|NO2","Without Sequence","16.55","",""
"01/01/2025 08:30:00 - 01/01/2025 08:45:00","BZN|NO2","Without Sequence","16.55","",""
"01/01/2025 08:45:00 - 01/01/2025 09:00:00","BZN|NO2","Without Sequence","16.55","",""
"01/01/2025 09:00:00 - 01/01/2025 09:15:00","BZN|NO2","Without Sequence","17.95","",""
"01/01/2025 09:15:00 - 01/01/2025 09:30:00","BZN|NO2","Without Sequence","17.95","",""
"01/01/2025 09:30:00 - 01/01/2025 09:45:00","BZN|NO2","Without Sequence","17.95","",""
"01/01/2025 09:45:00 - 01/01/2025 10:00:00","BZN|NO2","Without Sequence","17.95","",""
"01/01/2025 10:00:00 - 01/01/2025 10:15:00","BZN|NO2","Without Sequence","21.06","",""
"01/01/2025 10:15:00 - 01/01/2025 10:30:00","BZN|NO2","Without Sequence","21.06","",""
"01/01/2025 10:30:00 - 01/01/2025 10:45:00","BZN|NO2","Without Sequence","21.06","",""
"01/01/2025 10:45:00 - 01/01/2025 11:00:00","BZN|NO2","Without Sequence","21.06","",""
"01/01/2025 11:00:00 - 01/01/2025 11:15:00","BZN|NO2","Without Sequence","23.54","",""
"01/01/2025 11:15:00 - 01/01/2025 11:30:00","BZN|NO2","Without Sequence","23.54","",""
"01/01/2025 11:30:00 - 01/01/2025 11:45:00","BZN|NO2","Without Sequence","23.54","",""
"01/01/2025 11:45:00 - 01/01/2025 12:00:00","BZN|NO2","Without Sequence","23.54","",""
"01/01/2025 12:00:00 - 01/01/2025 12:15:00","BZN|NO2","Without Sequence","27.12","",""
"01/01/2025 12:15:00 - 01/01/2025 12:30:00","BZN|NO2","Without Sequence","27.12","",""
"01/01/2025 12:30:00 - 01/01/2025 12:45:00","BZN|NO2","Without Sequence","27.12","",""
"01/01/2025 12:45:00 - 01/01/2025 13:00:00","BZN|NO2","Without Sequence","27.12","",""
"01/01/2025 13:00:00 - 01/01/2025 13:15:00","BZN|NO2","Without Sequence","27.20","",""
"01/01/2025 13:15:00 - 01/01/2025 13:30:00","BZN|NO2","Without Sequence","27.20","",""
"01/01/2025 13:30:00 - 01/01/2025 13:45:00","BZN|NO2","Without Sequence","27.20","",""
"01/01/2025 13:45:00 - 01/01/2025 14:00:00","BZN|NO2","Without Sequence","27.20","",""
"01/01/2025 14:00:00 - 01/01/2025 14:15:00","BZN|NO2","Without Sequence","27.11","",""
"01/01/2025 14:15:00 - 01/01/2025 14:30:00","BZN|NO2","Without Sequence","27.11","",""
"01/01/2025 14:30:00 - 01/01/2025 14:45:00","BZN|NO2","Without Sequence","27.11","",""
"01/01/2025 14:45:00 - 01/01/2025 15:00:00","BZN|NO2","Without Sequence","27.11","",""
"01/01/2025 15:00:00 - 01/01/2025 15:15:00","BZN|NO2","Without Sequence","27.02","",""
"01/01/2025 15:15:00 - 01/01/2025 15:30:00","BZN|NO2","Without Sequence","27.02","",""
"01/01/2025 15:30:00 - 01/01/2025 15:45:00","BZN|NO2","Without Sequence","27.02","",""
"01/01/2025 15:45:00 - 01/01/2025 16:00:00","BZN|NO2","Without Sequence","27.02","",""
"01/01/2025 16:00:00 - 01/01/2025 16:15:00","BZN|NO2","Without Sequence","26.80","",""
"01/01/2025 16:15:00 - 01/01/2025 16:30:00","BZN|NO2","Without Sequence","26.80","",""
"01/01/2025 16:30:00 - 01/01/2025 16:45:00","BZN|NO2","Without Sequence","26.80","",""
"01/01/2025 16:45:00 - 01/01/2025 17:00:00","BZN|NO2","Without Sequence","26.80","",""
"01/01/2025 17:00:00 - 01/01/2025 17:15:00","BZN|NO2","Without Sequence","26.72","",""
"01/01/2025 17:15:00 - 01/01/2025 17:30:00","BZN|NO2","Without Sequence","26.72","",""
