Zone,Calibration,Calibration period,Test week,Test period,Model,Dataset,Training samples,Test samples,price_values,buy_volume_values,sell_volume_values,flow_values,capacity_values,total_raw_values,Raw values used (%),Raw value reduction (%),RMSE
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,Linear Regression,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,7.464501547868405
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,Linear Regression,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,7.547607053244176
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,Linear Regression,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,7.3674593626867635
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,Decision Tree,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,12.471896598428996
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,Decision Tree,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,10.91583060229936
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,Decision Tree,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,13.711274666353617
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,Random Forest,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,7.780342902878324
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,Random Forest,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,7.679837133294475
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,Random Forest,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,7.951654014425799
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,XGBoost,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,7.720399398149944
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,XGBoost,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,8.2115812687174
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,XGBoost,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,6.941391881485246
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,ARIMA,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,23.00570402926978
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,ARIMA,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,22.852839219487084
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,winter_january,2024-01-15 to 2024-01-21,ARIMA,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,21.398803529397746
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,Linear Regression,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,11.18265443751278
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,Linear Regression,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,11.300285524758294
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,Linear Regression,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,11.080559531137915
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,Decision Tree,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,16.788929600866673
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,Decision Tree,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,18.56171321885584
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,Decision Tree,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,21.58786988543511
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,Random Forest,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,10.835167356071386
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,Random Forest,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,10.786869562254182
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,Random Forest,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,12.291644974385017
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,XGBoost,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,9.991604035231642
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,XGBoost,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,9.874278076331716
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,XGBoost,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,10.98605384103051
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,ARIMA,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,48.508829116991954
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,ARIMA,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,48.05907333480731
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,spring_april,2024-04-10 to 2024-04-16,ARIMA,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,48.65268276858836
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Linear Regression,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,12.52143365061319
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Linear Regression,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,12.612695757620042
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Linear Regression,rbatheta_events,5696,168,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195,12.509419475996957
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Decision Tree,full_dataset,8764,168,8760,8760,8760,22548,17518,66346,100.0,0.0,16.528968689920763
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,summer_june,2024-06-24 to 2024-06-30,Decision Tree,own_events,6934,168,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575,21.395502893075896
