Zone,Calibration,Calibration period,Dataset,price_values,buy_volume_values,sell_volume_values,flow_values,capacity_values,total_raw_values,Raw values used (%),Raw value reduction (%)
NO2,cal_2020,2020-01-01 to 2020-12-31,full_dataset,8760,8760,8760,22548,17518,66346,100.0,0.0
NO2,cal_2020,2020-01-01 to 2020-12-31,own_events,8761,6266,3233,8403,1310,27973,42.162300666204445,57.837699333795555
NO2,cal_2020,2020-01-01 to 2020-12-31,rbatheta_events,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,full_dataset,8760,8760,8760,22548,17518,66346,100.0,0.0
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,own_events,6447,5600,2832,7074,1482,23435,35.322400747595935,64.67759925240406
NO2,cal_2020_2021,2020-01-01 to 2021-12-31,rbatheta_events,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,full_dataset,8760,8760,8760,22548,17518,66346,100.0,0.0
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,own_events,1932,4748,2123,4682,1482,14967,22.55900883248425,77.44099116751575
NO2,cal_2020_2022,2020-01-01 to 2022-12-31,rbatheta_events,2212,1101,2394,9189,0,14896,22.451994091580502,77.5480059084195
NO4,cal_2020,2020-01-01 to 2020-12-31,full_dataset,8760,8760,8760,22961,70072,119313,100.0,0.0
NO4,cal_2020,2020-01-01 to 2020-12-31,own_events,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087
NO4,cal_2020,2020-01-01 to 2020-12-31,rbatheta_events,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869
NO4,cal_2020_2021,2020-01-01 to 2021-12-31,full_dataset,8760,8760,8760,22961,70072,119313,100.0,0.0
NO4,cal_2020_2021,2020-01-01 to 2021-12-31,own_events,4554,5038,4177,2009,17051,32829,27.515023509592417,72.48497649040758
NO4,cal_2020_2021,2020-01-01 to 2021-12-31,rbatheta_events,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,full_dataset,8760,8760,8760,22961,70072,119313,100.0,0.0
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,own_events,3944,5078,3566,2325,17051,31964,26.79003964362643,73.20996035637357
NO4,cal_2020_2022,2020-01-01 to 2022-12-31,rbatheta_events,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869
