Zone,Calibration,Calibration period,Model,Dataset,Training samples,price_values,buy_volume_values,sell_volume_values,flow_values,capacity_values,total_raw_values,Raw values used (%),Raw value reduction (%),RMSE_mean,RMSE_std
NO2,cal_2020,2020-01-01 to 2020-12-31,ARIMA,rbatheta_events,5696,2212,1101,2394,9189,0,14896,22.45,77.55,39.7729,10.8972
NO2,cal_2020,2020-01-01 to 2020-12-31,ARIMA,own_events,8764,8761,6266,3233,8403,1310,27973,42.16,57.84,40.1424,10.2675
NO2,cal_2020,2020-01-01 to 2020-12-31,ARIMA,full_dataset,8764,8760,8760,8760,22548,17518,66346,100.0,0.0,40.1424,10.2675
NO2,cal_2020,2020-01-01 to 2020-12-31,Decision Tree,rbatheta_events,5696,2212,1101,2394,9189,0,14896,22.45,77.55,17.5986,5.3383
NO2,cal_2020,2020-01-01 to 2020-12-31,Decision Tree,own_events,8764,8761,6266,3233,8403,1310,27973,42.16,57.84,16.1522,4.313
NO2,cal_2020,2020-01-01 to 2020-12-31,Decision Tree,full_dataset,8764,8760,8760,8760,22548,17518,66346,100.0,0.0,16.1522,4.313
NO2,cal_2020,2020-01-01 to 2020-12-31,Linear Regression,rbatheta_events,5696,2212,1101,2394,9189,0,14896,22.45,77.55,12.1485,5.3933
NO2,cal_2020,2020-01-01 to 2020-12-31,Linear Regression,own_events,8764,8761,6266,3233,8403,1310,27973,42.16,57.84,12.1759,5.3045
NO2,cal_2020,2020-01-01 to 2020-12-31,Linear Regression,full_dataset,8764,8760,8760,8760,22548,17518,66346,100.0,0.0,12.1759,5.3045
NO2,cal_2020,2020-01-01 to 2020-12-31,Random Forest,rbatheta_events,5696,2212,1101,2394,9189,0,14896,22.45,77.55,12.2449,5.0093
NO2,cal_2020,2020-01-01 to 2020-12-31,Random Forest,own_events,8764,8761,6266,3233,8403,1310,27973,42.16,57.84,12.0591,4.9922
NO2,cal_2020,2020-01-01 to 2020-12-31,Random Forest,full_dataset,8764,8760,8760,8760,22548,17518,66346,100.0,0.0,12.0591,4.9922
NO2,cal_2020,2020-01-01 to 2020-12-31,XGBoost,rbatheta_events,5696,2212,1101,2394,9189,0,14896,22.45,77.55,11.4351,5.2503
NO2,cal_2020,2020-01-01 to 2020-12-31,XGBoost,own_events,8764,8761,6266,3233,8403,1310,27973,42.16,57.84,11.3864,4.9547
NO2,cal_2020,2020-01-01 to 2020-12-31,XGBoost,full_dataset,8764,8760,8760,8760,22548,17518,66346,100.0,0.0,11.3864,4.9547
