Zone,Calibration,Dataset,Training_samples_mean,total_raw_values,Raw_values_used_pct,Raw_value_reduction_pct,RMSE_mean,n_models
NO2,cal_2020,rbatheta_events,5696,14896,22.45,77.55,18.64,5
NO2,cal_2020,own_events,8764,27973,42.16,57.84,18.3832,5
NO2,cal_2020,full_dataset,8764,66346,100.0,0.0,18.3832,5
NO2,cal_2020_2021,rbatheta_events,5696,14896,22.45,77.55,18.64,5
NO2,cal_2020_2021,own_events,8532,23435,35.32,64.68,18.5017,5
NO2,cal_2020_2021,full_dataset,8764,66346,100.0,0.0,18.3832,5
NO2,cal_2020_2022,rbatheta_events,5696,14896,22.45,77.55,18.64,5
NO2,cal_2020_2022,own_events,6934,14967,22.56,77.44,18.5749,5
NO2,cal_2020_2022,full_dataset,8764,66346,100.0,0.0,18.3832,5
NO4,cal_2020,rbatheta_events,3556,10991,9.21,90.79,9.7073,5
NO4,cal_2020,own_events,8758,39953,33.49,66.51,6.8137,5
NO4,cal_2020,full_dataset,8764,119313,100.0,0.0,6.8185,5
NO4,cal_2020_2021,rbatheta_events,3556,10991,9.21,90.79,9.7073,5
NO4,cal_2020_2021,own_events,8469,32829,27.52,72.48,6.8209,5
NO4,cal_2020_2021,full_dataset,8764,119313,100.0,0.0,6.8185,5
NO4,cal_2020_2022,rbatheta_events,3556,10991,9.21,90.79,9.7073,5
NO4,cal_2020_2022,own_events,8375,31964,26.79,73.21,6.7645,5
NO4,cal_2020_2022,full_dataset,8764,119313,100.0,0.0,6.8185,5
