Zone,Calibration,Model,Dataset,Training samples,total_raw_values,Raw values used (%),Raw value reduction (%),RMSE_mean
NO2,cal_2020,ARIMA,rbatheta_events,5696,14896,22.45,77.55,39.7729
NO2,cal_2020,ARIMA,own_events,8764,27973,42.16,57.84,40.1424
NO2,cal_2020,ARIMA,full_dataset,8764,66346,100.0,0.0,40.1424
NO2,cal_2020_2021,ARIMA,rbatheta_events,5696,14896,22.45,77.55,39.7729
NO2,cal_2020_2021,ARIMA,own_events,8532,23435,35.32,64.68,40.1587
NO2,cal_2020_2021,ARIMA,full_dataset,8764,66346,100.0,0.0,40.1424
NO2,cal_2020_2022,ARIMA,rbatheta_events,5696,14896,22.45,77.55,39.7729
NO2,cal_2020_2022,ARIMA,own_events,6934,14967,22.56,77.44,39.8064
NO2,cal_2020_2022,ARIMA,full_dataset,8764,66346,100.0,0.0,40.1424
NO2,cal_2020,Decision Tree,rbatheta_events,5696,14896,22.45,77.55,17.5986
NO2,cal_2020,Decision Tree,own_events,8764,27973,42.16,57.84,16.1522
NO2,cal_2020,Decision Tree,full_dataset,8764,66346,100.0,0.0,16.1522
NO2,cal_2020_2021,Decision Tree,rbatheta_events,5696,14896,22.45,77.55,17.5986
NO2,cal_2020_2021,Decision Tree,own_events,8532,23435,35.32,64.68,16.5897
NO2,cal_2020_2021,Decision Tree,full_dataset,8764,66346,100.0,0.0,16.1522
NO2,cal_2020_2022,Decision Tree,rbatheta_events,5696,14896,22.45,77.55,17.5986
NO2,cal_2020_2022,Decision Tree,own_events,6934,14967,22.56,77.44,17.2334
NO2,cal_2020_2022,Decision Tree,full_dataset,8764,66346,100.0,0.0,16.1522
NO2,cal_2020,Linear Regression,rbatheta_events,5696,14896,22.45,77.55,12.1485
NO2,cal_2020,Linear Regression,own_events,8764,27973,42.16,57.84,12.1759
NO2,cal_2020,Linear Regression,full_dataset,8764,66346,100.0,0.0,12.1759
NO2,cal_2020_2021,Linear Regression,rbatheta_events,5696,14896,22.45,77.55,12.1485
NO2,cal_2020_2021,Linear Regression,own_events,8532,23435,35.32,64.68,12.1911
NO2,cal_2020_2021,Linear Regression,full_dataset,8764,66346,100.0,0.0,12.1759
NO2,cal_2020_2022,Linear Regression,rbatheta_events,5696,14896,22.45,77.55,12.1485
NO2,cal_2020_2022,Linear Regression,own_events,6934,14967,22.56,77.44,12.2497
NO2,cal_2020_2022,Linear Regression,full_dataset,8764,66346,100.0,0.0,12.1759
NO2,cal_2020,Random Forest,rbatheta_events,5696,14896,22.45,77.55,12.2449
NO2,cal_2020,Random Forest,own_events,8764,27973,42.16,57.84,12.0591
NO2,cal_2020,Random Forest,full_dataset,8764,66346,100.0,0.0,12.0591
NO2,cal_2020_2021,Random Forest,rbatheta_events,5696,14896,22.45,77.55,12.2449
NO2,cal_2020_2021,Random Forest,own_events,8532,23435,35.32,64.68,12.1723
NO2,cal_2020_2021,Random Forest,full_dataset,8764,66346,100.0,0.0,12.0591
NO2,cal_2020_2022,Random Forest,rbatheta_events,5696,14896,22.45,77.55,12.2449
NO2,cal_2020_2022,Random Forest,own_events,6934,14967,22.56,77.44,12.1052
NO2,cal_2020_2022,Random Forest,full_dataset,8764,66346,100.0,0.0,12.0591
NO2,cal_2020,XGBoost,rbatheta_events,5696,14896,22.45,77.55,11.4351
